Ministry,Department
"Minister of Public Administration, Provincial Councils and Local Government","Sri Lanka Institute of Local Government"
"Minister of Public Security and Parliamentary Affairs","Bureau of Rehabilitation"
"Minister of Public Security and Parliamentary Affairs","Civil Security Department"
"Minister of Public Security and Parliamentary Affairs","Department of Immigration and Emigration"
"Minister of Public Security and Parliamentary Affairs","National Dangerous Drugs Control Board"
"Minister of Public Security and Parliamentary Affairs","National Police Academy"
"Minister of Public Security and Parliamentary Affairs","Sri Lanka Police"
"Minister of Rural Development, Social Security and Community Empowerment","Department of Samurdhi Development"
"Minister of Rural Development, Social Security and Community Empowerment","Department of Social Services"
"Minister of Rural Development, Social Security and Community Empowerment","Kidney Fund"
"Minister of Rural Development, Social Security and Community Empowerment","National Council for Elders and National Secretariat for Elders"
"Minister of Rural Development, Social Security and Community Empowerment","National Council for Persons with Disabilities"
"Minister of Rural Development, Social Security and Community Empowerment","National Institute of Social Development"
"Minister of Rural Development, Social Security and Community Empowerment","National Secretariat for Non Governmental Organization"
"Minister of Rural Development, Social Security and Community Empowerment","National Secretariat for Persons with Disabilities"
"Minister of Rural Development, Social Security and Community Empowerment","Partnership Secretariat for WFP Co-operation"
"Minister of Rural Development, Social Security and Community Empowerment","Rural Development Training and Research Institute"
"Minister of Rural Development, Social Security and Community Empowerment","Saubhagya Development Bureau"
"Minister of Rural Development, Social Security and Community Empowerment","Social Security Board"
"Minister of Science and Technology","Arthur C. Clarke Institute for Modern Technologies"
"Minister of Science and Technology","Centre of Excellence for Robotic Applications"
"Minister of Science and Technology","Industrial Technology Institute"
"Minister of Science and Technology","National Engineering Research And Development Centre"
"Minister of Science and Technology","National Innovation Agency"
"Minister of Science and Technology","National Institute of Fundamental Studies"
"Minister of Science and Technology","National Research Council of Sri Lanka"
"Minister of Science and Technology","National Science Foundation"
"Minister of Science and Technology","National Science and Technology Commission"
"Minister of Science and Technology","Planetarium of Sri Lanka"
"Minister of Science and Technology","Sri Lanka Atomic Energy Board"
"Minister of Science and Technology","Sri Lanka Atomic Energy Regulatory Council"
"Minister of Science and Technology","Sri Lanka Institute of Biotechnology (Pvt.) Ltd."
"Minister of Science and Technology","Sri Lanka Institute of Nanotechnology (Pvt.) Ltd."
"Minister of Science and Technology","Sri Lanka Inventors Fund"
"Minister of Science and Technology","Sri Lanka Inventors' Commission"
"Minister of Science and Technology","Sri Lanka Standards Institute"
"Minister of Science and Technology","Vidatha Centres"
"Minister of Trade, Commerce, Food Security and Cooperative Development","Consumer Affairs Authority"
"Minister of Trade, Commerce, Food Security and Cooperative Development","Cooperative Employees Commission"
"Minister of Trade, Commerce, Food Security and Cooperative Development","Cooperative Wholesale Establishment"
"Minister of Trade, Commerce, Food Security and Cooperative Development","Department of Commerce"
"Minister of Trade, Commerce, Food Security and Cooperative Development","Department of Cooperative Development (Registrar of Cooperative Societies)"
"Minister of Trade, Commerce, Food Security and Cooperative Development","Department of Measurement Units, Standards and Services"
"Minister of Trade, Commerce, Food Security and Cooperative Development","Department of the Registrar of Companies"
"Minister of Trade, Commerce, Food Security and Cooperative Development","Food Commissioner's Department"
"Minister of Trade, Commerce, Food Security and Cooperative Development","Lanka Sathosa Ltd."
"Minister of Trade, Commerce, Food Security and Cooperative Development","Mahapola Trust Fund"
"Minister of Trade, Commerce, Food Security and Cooperative Development","National Institute of Cooperative Development"
"Minister of Trade, Commerce, Food Security and Cooperative Development","National Intellectual Property Office of Sri Lanka"
"Minister of Trade, Commerce, Food Security and Cooperative Development","Regional Economic Centres"
"Minister of Trade, Commerce, Food Security and Cooperative Development","Sri Lanka Accreditation Board for Conformity Assessment"
"Minister of Trade, Commerce, Food Security and Cooperative Development","Sri Lanka State Trading (General) Corporation Ltd"
"Minister of Trade, Commerce, Food Security and Cooperative Development","Sri Lanka Thriposha Co. Ltd."
"Minister of Trade, Commerce, Food Security and Cooperative Development","State Trading Co-operative Wholesale Co. Ltd"
"Minister of Transport, Highways and Urban Development","Condominium Management Authority (Common Amenities Board)"
"Minister of Transport, Highways and Urban Development","Department of Motor Traffic"
"Minister of Transport, Highways and Urban Development","Department of Sri Lanka Railways"
"Minister of Transport, Highways and Urban Development","Lakdiva Engineering (Pvt) Ltd"
"Minister of Transport, Highways and Urban Development","Maga Neguma"
"Minister of Transport, Highways and Urban Development","National Council for Road Safety"
"Minister of Transport, Highways and Urban Development","National Physical Planning Department"
"Minister of Transport, Highways and Urban Development","National Transport Commission"
"Minister of Transport, Highways and Urban Development","National Transport Medical Institute"
"Minister of Transport, Highways and Urban Development","Road Development Authority and its subsidiaries and affiliates"
"Minister of Transport, Highways and Urban Development","Sahasya Investment Ltd."
"Minister of Transport, Highways and Urban Development","Selendiva Investments Limited"
"Minister of Transport, Highways and Urban Development","Sri Lanka Land Development Corporation and its subsidiaries and related institutions"
"Minister of Transport, Highways and Urban Development","Sri Lanka Transport Board"
"Minister of Transport, Highways and Urban Development","State Development and Construction Corporation"
"Minister of Transport, Highways and Urban Development","Urban Development Authority"
"Minister of Transport, Highways and Urban Development","Urban Settlement Development Authority"
"Minister of Women and Child Affairs","Department of Probation and Childcare Services"
"Minister of Women and Child Affairs","National Child Protection Authority"
"Minister of Women and Child Affairs","National Committee on Women"
"Minister of Women and Child Affairs","National Secretariat for Early Childhood Development"
"Minister of Women and Child Affairs","Protection of Children-National Trust Fund"
"Minister of Women and Child Affairs","Sri Lanka Women's Bureau"
"Minister of Youth Affairs and Sports","Department of Sports Development"
"Minister of Youth Affairs and Sports","Institute of Sports Medicine"
"Minister of Youth Affairs and Sports","National Centre for Leadership Development"
"Minister of Youth Affairs and Sports","National Institute of Sports Science"
"Minister of Youth Affairs and Sports","National Sports Council"
"Minister of Youth Affairs and Sports","National Youth Corps"
"Minister of Youth Affairs and Sports","National Youth Services Council"
"Minister of Youth Affairs and Sports","National Youths Services Cooperative Society Limited"
"Minister of Youth Affairs and Sports","Sri Lanka Anti-doping Agency"
"Minister of Youth Affairs and Sports","Sugathadasa National Sports Complex Authority"
