Ministry,Department,URL,url_2,url_3,lookup_status,lookup_error
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Christian Religious Affairs,christian.gov.lk,lankainformation.lk,rainbowpages.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Cultural Affairs,culturaldept.gov.lk,mbrc.gov.lk,mbs.gov.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Hindu Religious and Cultural Affairs,parliament.lk,mbs.gov.lk,culturaldept.gov.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Muslim Religious and Cultural Affairs,muslimaffairs.gov.lk,mbs.gov.lk,parliament.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of National Archives,archives.gov.lk,websnew.lithium.lk,sinhala.lankainformation.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of National Museums,museum.gov.lk,parliament.lk,,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Public Trustee,srilankalaw.lk,ciaboc.gov.lk,parliament.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Galle Heritage Foundation,galleheritage.gov.lk,ghf.procons.lk,,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Gramodaya Folk Arts Centre,exploresrilanka.lk,tamilguru.lk,courses.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",J.R. Jayewardene Centre,jrjc.lk,,,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Mahinda Rajapaksa National Tele Cinema Park,hirunews.lk,newswire.lk,themorning.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",National Arts Council,artscouncil.lk,cmb.ac.lk,craftscouncil.gov.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",National Film Corporation,sltdigitalweb.lk,plusinfo.lk,srilankalaw.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",National Library and Documentation Services Board,natlib.lk,parliament.lk,isbn.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",National Performing Arts Theatre (Nelum Pokuna),srilankayo.lk,,,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Public Performance Board,soe.lk,srilankalaw.lk,parliament.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",S W R D Bandaranaike National Memorial Foundation,srilankalaw.lk,,,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Tower Hall Theatre Foundation,towerhall.lk,srilankalaw.lk,parliament.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",“Ape Gama”,srilankayo.lk,srilankatravelguide.lk,craftscouncil.gov.lk,ok,
Minister of Defence,Api Wenuwen Api Fund,srilankalaw.lk,auditorgeneral.gov.lk,defence.lk,ok,
Minister of Defence,Coast Guard Department of Sri Lanka,coastguard.gov.lk,defence.lk,coastguard.navy.lk,ok,
Minister of Defence,Defence Research and Development Centre,defence.lk,cmb.ac.lk,crd.lk,ok,
Minister of Defence,Defence Services College,defencesc.lk,dscsc.lk,defence.lk,ok,
Minister of Defence,Defence Services Command and Staff College,dscsc.lk,army.lk,defence.lk,ok,
Minister of Defence,Department of Meteorology,meteo.slt.lk,nsdi.gov.lk,,ok,
Minister of Defence,Disaster Management Centre,dmc.gov.lk,desinventar.lk,,ok,
Minister of Defence,Institute of National Security Studies,defence.lk,inss.lk,,ok,
Minister of Defence,Miloda Institute - as a Faculty of Kotelawala Defence University,kdu.ac.lk,mpc.kdu.ac.lk,parliament.lk,ok,
Minister of Defence,National Authority for the Implementation of Chemical Weapons Convention,defence.lk,srilankalaw.lk,newswire.lk,ok,
Minister of Defence,National Building Research Organization,nbri.gov.lk,,,ok,
Minister of Defence,National Cadet Corps,cadet.lk,defence.lk,np.gov.lk,ok,
Minister of Defence,National Defence College,ndc.ac.lk,defence.lk,airforce.lk,ok,
Minister of Defence,National Defence Fund,defence.lk,srilankalaw.lk,army.lk,ok,
Minister of Defence,National Disaster Management Council,dmc.gov.lk,ndrsc.gov.lk,ndrsc.lk,ok,
Minister of Defence,National Disaster Relief Services Centre,ndrsc.gov.lk,ndrsc.lk,dmc.gov.lk,ok,
Minister of Defence,National Hydrographic Council ,nho.gov.lk,defence.lk,archive.navy.lk,ok,
Minister of Defence,Office of the Chief of Defence Staff,defence.lk,,,ok,
Minister of Defence,Rakna Arakshana Lanka Ltd.,rall.lk,defence.lk,auditorgeneral.gov.lk,ok,
Minister of Defence,Ranaviru Seva Authority,defence.lk,srilankalaw.lk,ranaviruseva.gov.lk,ok,
Minister of Defence,Sir John Kotelawala Defence University,kdu.ac.lk,grandroyal.lk,sundaytimes.lk,ok,
Minister of Defence,Sri Lanka Air Force,airforce.lk,airforcemuseum.lk,defence.lk,ok,
Minister of Defence,Sri Lanka Army,army.lk,defence.lk,,ok,
Minister of Defence,Sri Lanka National Hydrographic Office,nho.gov.lk,defence.lk,archive.navy.lk,ok,
Minister of Defence,Sri Lanka Navy,navy.lk,news.navy.lk,,ok,
Minister of Defence,State Intelligence Service,defence.lk,ir.kdu.ac.lk,customs.gov.lk,ok,
Minister of Digital Economy,Colombo Lotus Tower Management Co. (Pvt.) Ltd,colombolotustower.lk,lankainformation.lk,auditorgeneral.gov.lk,ok,
Minister of Digital Economy,Data Protection Authority of Sri Lanka,dpa.gov.lk,ft.lk,,ok,
Minister of Digital Economy,Department of Registration of Persons,mode.gov.lk,drp.gov.lk,adaderana.lk,ok,
Minister of Digital Economy,Information Technology Parks,icta.lk,parliament.lk,esn.ac.lk,ok,
Minister of Digital Economy,Information and Communication Technology Agency and Allied Institutions,icta.lk,mode.gov.lk,cert.gov.lk,ok,
Minister of Digital Economy,Online Safety Commission,onlinesafety.lk,parliament.lk,nisd.ac.lk,ok,
Minister of Digital Economy,Sri Lanka Computer Emergency Readiness Team,mode.gov.lk,cert.gov.lk,,ok,
Minister of Digital Economy,Sri Lanka Telecom and its Subsidiaries and Allied Institutions,slt.lk,newsfirst.lk,dailymirror.lk,ok,
Minister of Digital Economy,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions,parliament.lk,trc.gov.lk,cert.gov.lk,ok,
"Minister of Education, Higher Education and Vocational Education","All State Universities, Postgraduate Institutions and other Institutions under the purview of University Grants Commission",in.lk,mohe.gov.lk,thesrilanka.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Buddhasravaka Bhikku University,busl.ac.lk,mohe.gov.lk,srilankalaw.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Buddhist and Pali University of Sri Lanka,bpu.ac.lk,parliament.lk,sinhala.lankainformation.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Ceylon German Technical Training Institute,germantec.lk,course.lk,courses.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Department of Educational Publications,edupub.gov.lk,booxworm.lk,nie.ac.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Department of Examinations,doenets.lk,results.exams.gov.lk,gazette.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Department of Technical Education and Training,dtet.gov.lk,skillsmin.gov.lk,yesman.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Directorates of Education,cpedu.lk,mohe.gov.lk,np.gov.lk,ok,
"Minister of Education, Higher Education and Vocational Education",National Apprenticeship and Industrial Training Authority,naita.gov.lk,studyway.lk,coursenet.lk,ok,
"Minister of Education, Higher Education and Vocational Education",National Colleges of Education,nie.ac.lk,gazette.lk,teachereducation.lk,ok,
"Minister of Education, Higher Education and Vocational Education",National Education Commission,nec.gov.lk,srilankalaw.lk,nie.ac.lk,ok,
"Minister of Education, Higher Education and Vocational Education",National Institute of Business Management and affiliated institutions,nibm.ac.lk,nibm.lk,lmd.lk,ok,
"Minister of Education, Higher Education and Vocational Education",National Institute of Education,nie.ac.lk,srilankalaw.lk,nie.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Ocean University of Sri Lanka,ocu.ac.lk,,,ok,
"Minister of Education, Higher Education and Vocational Education",Piriven Education Board,moe.gov.lk,nie.ac.lk,srilankalaw.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Skills Development Fund Ltd.,fat.lk,auditorgeneral.gov.lk,skillsmin.gov.lk,ok,
"Minister of Education, Higher Education and Vocational Education",South Asian Centre for Teacher Development (SACTD),sactd.edu.lk,sundaytimes.lk,slncu.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Sri Lanka Institute of Advanced Technological Education,mohe.gov.lk,colombo.sliate.ac.lk,sliate.ac.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Sri Lanka Inventors' Fund,slic.gov.lk,parliament.lk,dailymirror.lk,ok,
"Minister of Education, Higher Education and Vocational Education",State Printing Corporation,spclanka.gov.lk,soe.lk,moe.gov.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Teachers' College,sussexttc.lk,1plusinfo.lk,gazette.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Tertiary and Vocational Education Commission,tvec.gov.lk,course.vta.lk,skillsmin.gov.lk,ok,
"Minister of Education, Higher Education and Vocational Education",UNESCO National Commission of Sri Lanka,slncu.lk,news.lk,srilankalaw.lk,ok,
"Minister of Education, Higher Education and Vocational Education",University Grants Commission,mohe.gov.lk,qac.ugc.ac.lk,,ok,
"Minister of Education, Higher Education and Vocational Education",University of Vocational Technology,uovt.ac.lk,ucr.ac.lk,coursenet.lk,ok,
"Minister of Education, Higher Education and Vocational Education",Vocational Training Authority of Sri Lanka,course.vta.lk,tvec.gov.lk,skillsmin.gov.lk,ok,
Minister of Energy,Ceylon Electricity Board and its subsidiary Companies,edl.lk,ntnsp.lk,ceb.lk,ok,
Minister of Energy,Ceylon Petroleum Corporation,ceypetco.gov.lk,gazette.lk,soe.lk,ok,
Minister of Energy,Ceylon Petroleum Storage Terminal Ltd.,cpstl.lk,parliament.lk,,ok,
Minister of Energy,Electricity Distribution Lanka (Pvt) Ltd,newswire.lk,blog.govdoc.lk,pucsl.gov.lk,ok,
Minister of Energy,Electricity Generation Lanka (Pvt) Ltd,pucsl.gov.lk,ceb.lk,edl.lk,ok,
Minister of Energy,LTL Holdings (Pvt.) Ltd.,ltl.lk,ltlt.lk,lakdhanavi.lk,ok,
Minister of Energy,Lanka Coal Company (Pvt) Ltd,lankacoal.lk,auditorgeneral.gov.lk,,ok,
Minister of Energy,Lanka Electricity Company (Pvt) Ltd,ebill.leco.lk,leco.lk,rainbowpages.lk,ok,
Minister of Energy,National System Operator (Pvt) Ltd,nso.lk,ntnsp.lk,newsfirst.lk,ok,
Minister of Energy,National Transmission Network Service Provider (Pvt) Ltd,energymin.gov.lk,ntnsp.lk,ceb.lk,ok,
Minister of Energy,Petroleum Development Authority of Sri Lanka,pdasl.gov.lk,parliament.lk,island.lk,ok,
Minister of Energy,Polipto Lanka (Pvt) Ltd.,rainbowpages.lk,,,ok,
Minister of Energy,Sri Lanka Sustainable Energy Authority,energy.gov.lk,soe.lk,srilankalaw.lk,ok,
Minister of Energy,Trinco Petroleum Terminal (Pvt) Ltd,bureauveritas.lk,cpstl.lk,dailymirror.lk,ok,
Minister of Environment,Central Environmental Authority,cea.lk,env.gov.lk,,ok,
Minister of Environment,Department of Coast Conservation and Coastal Resource Management,coastal.gov.lk,env.gov.lk,,ok,
Minister of Environment,Department of Forest Conservation,env.gov.lk,forestdept.gov.lk,nsdi.gov.lk,ok,
Minister of Environment,Department of National Botanic Gardens,botanicgardens.gov.lk,env.gov.lk,slcarp.lk,ok,
Minister of Environment,Department of National Zoological Gardens,nationalzoo.gov.lk,env.gov.lk,srilankayo.lk,ok,
Minister of Environment,Department of Wildlife Conservation,env.gov.lk,dwc.gov.lk,nsdi.gov.lk,ok,
Minister of Environment,Marine Environment Protection Authority,mepa.gov.lk,env.gov.lk,parliament.lk,ok,
Minister of Environment,Sri Lanka Climate Fund (Pvt) Ltd.,climatefund.lk,env.gov.lk,parliament.lk,ok,
Minister of Environment,State Timber Corporation,treasury.gov.lk,timco.lk,env.gov.lk,ok,
Minister of Environment,Water Resources Board,env.gov.lk,irrigationmin.gov.lk,wrb.lk,ok,
"Minister of Finance, Planning and Economic Development","All State Banks, Financial Institutions, Insurance Companies and their subsidiaries and related institutions",treasury.gov.lk,fiusrilanka.gov.lk,cbsl.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Asian Game (pvt) Ltd,soe.lk,companycheck.lk,drc.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Board of Investment of Sri Lanka,dgi.gov.lk,treasury.gov.lk,application.boi.lk,ok,
"Minister of Finance, Planning and Economic Development",Canwill Holdings (Pvt) Ltd,cabinetoffice.gov.lk,auditorgeneral.gov.lk,treasury.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Central Bank of Sri Lanka,cbsl.gov.lk,fiusrilanka.gov.lk,cbsl.lk,ok,
"Minister of Finance, Planning and Economic Development",Colombo Port City Economic Commission,portcitycolombo.gov.lk,portcitycolombo.lk,srilankalaw.lk,ok,
"Minister of Finance, Planning and Economic Development",Commonwealth Game Hambantota (Pvt) Ltd,sundaytimes.lk,ft.lk,hirunews.lk,ok,
"Minister of Finance, Planning and Economic Development",Credit Information Bureau of Sri Lanka,crib.lk,cbsl.gov.lk,staging.gic.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Census and Statistics,statistics.gov.lk,cbsl.gov.lk,,ok,
"Minister of Finance, Planning and Economic Development",Department of Development Finance,treasury.gov.lk,etfb.lk,gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Excise,excise.gov.lk,phonebook.lk,gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of External Resources,erd.gov.lk,treasury.gov.lk,parliament.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Fiscal Policy,treasury.gov.lk,parliament.lk,gazette.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Import and Export Control,stepbysteptrade.lk,treasury.gov.lk,eohfs.health.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Information Technology Management,treasury.gov.lk,uom.lk,ou.ac.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Inland Revenue,ird.gov.lk,eservices.ird.gov.lk,treasury.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Legal Affairs,treasury.gov.lk,attorneygeneral.gov.lk,customs.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Management Audit,treasury.gov.lk,pubad.gov.lk,dailymirror.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Management Services,treasury.gov.lk,parliament.lk,ugc.ac.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of National Budget,treasury.gov.lk,ugc.ac.lk,dashboards.publicfinance.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of National Planning,npd.treasury.gov.lk,nsdi.gov.lk,dmc.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Project Management and Monitoring,treasury.gov.lk,mpclg.gov.lk,icome.ou.ac.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Public Enterprises,treasury.gov.lk,publicfinance.lk,ugc.ac.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Public Finance,treasury.gov.lk,publicfinance.lk,cbsl.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of State Accounts,treasury.gov.lk,auditorgeneral.gov.lk,parliament.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Trade and Investment Policy,treasury.gov.lk,doc.gov.lk,onetrade.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Treasury Operations,treasury.gov.lk,cbs.cbsl.lk,cdn.cse.lk,ok,
"Minister of Finance, Planning and Economic Development",Department of Valuation,mgt.sjp.ac.lk,valuationdept.gov.lk,survey.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Development Lotteries Board,dlb.lk,treasury.gov.lk,results.govdoc.lk,ok,
"Minister of Finance, Planning and Economic Development",Employees' Trust Fund,soe.lk,etfb.lk,gazette.lk,ok,
"Minister of Finance, Planning and Economic Development",Gambling Regulatory Authority,parliament.lk,cabinetoffice.gov.lk,,ok,
"Minister of Finance, Planning and Economic Development",General Treasury,treasury.gov.lk,gazette.lk,cbsl.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Hotel Developers (Lanka) PLC (PQ 143),hoteldevelopers.lk,treasury.gov.lk,cdn.cse.lk,ok,
"Minister of Finance, Planning and Economic Development",Housing Development Finance Corporation,cdn.cse.lk,hdfc.lk,,ok,
"Minister of Finance, Planning and Economic Development",Institute of Policy Studies,ips.lk,parliament.lk,,ok,
"Minister of Finance, Planning and Economic Development",Institutions coming under the Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act vested to the Secretary to the Treasury,parliament.lk,muragala.lk,treasury.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Insurance Regulatory Commission of Sri Lanka,ircsl.gov.lk,insuranceombudsman.lk,gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Lady Lochore Fund,lllf.gov.lk,lochorefund.gov.lk,srilankalaw.lk,ok,
"Minister of Finance, Planning and Economic Development",Lanka Fabric Ltd,soe.lk,treasury.gov.lk,,ok,
"Minister of Finance, Planning and Economic Development",Magampura Port Management Company (Pvt) Ltd,hipg.lk,slpa.lk,beijing.embassy.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Mihin Lanka (Pvt) Ltd,soe.lk,parliament.lk,,ok,
"Minister of Finance, Planning and Economic Development",National Credit Guarantee Institution Limited,ncgil.lk,treasury.gov.lk,index.lk,ok,
"Minister of Finance, Planning and Economic Development",National Insurance Trust Fund,nitf.lk,srilankalaw.lk,childwomenmin.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",National Lotteries Board,jayaway.lk,results.govdoc.lk,dlb.lk,ok,
"Minister of Finance, Planning and Economic Development",Office of Comptroller General,treasury.gov.lk,parliament.lk,ugc.ac.lk,ok,
"Minister of Finance, Planning and Economic Development",Peliyagoda warehouse,slpa.lk,,,ok,
"Minister of Finance, Planning and Economic Development",Provident Property Lanka Ltd - Institution being reviewed,providentcapital.lk,treasury.gov.lk,island.lk,ok,
"Minister of Finance, Planning and Economic Development",Public Debt Management Office,treasury.gov.lk,cbsl.gov.lk,,ok,
"Minister of Finance, Planning and Economic Development",Public Service Mutual Provident Fund,srilankalaw.lk,naosl.gov.lk,auditorgeneral.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Public Utilities Commission of Sri Lanka,parliament.lk,srilankalaw.lk,pucsl.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Regional Development Bank,rdb.lk,soe.lk,,ok,
"Minister of Finance, Planning and Economic Development",Securities and Exchange Commission of Sri Lanka,sec.gov.lk,mgt.sjp.ac.lk,srilankalaw.lk,ok,
"Minister of Finance, Planning and Economic Development",Sri Lanka Accounting and Auditing Standard Monitoring Board,slaasc.lk,slaasmb.gov.lk,auditorgeneral.gov.lk,ok,
"Minister of Finance, Planning and Economic Development",Sri Lanka Customs,customs.gov.lk,,,ok,
"Minister of Finance, Planning and Economic Development",Sri Lanka Export Credit Insurance Corporation,nationalchamber.lk,slecic.lk,parliament.lk,ok,
"Minister of Finance, Planning and Economic Development",Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies,auditorgeneral.gov.lk,treasury.gov.lk,,ok,
"Minister of Finance, Planning and Economic Development",State Mortgage and Investment Bank,smib.lk,soe.lk,nationalchamber.lk,ok,
"Minister of Finance, Planning and Economic Development",State Resources Management Corporation,soe.lk,treasury.gov.lk,lankainformation.lk,ok,
"Minister of Finance, Planning and Economic Development",Strategic Enterprises Management Agency,lankainformation.lk,contacts.lk,rainbowpages.lk,ok,
"Minister of Finance, Planning and Economic Development","Strike, Riot, Civil Commotion and Terrorism Fund",nitf.lk,cabinetoffice.gov.lk,soe.lk,ok,
"Minister of Finance, Planning and Economic Development",Sustainable Development Council,sdc.gov.lk,data.sdg.lk,,ok,
"Minister of Finance, Planning and Economic Development",Tax Appeals Commission,ird.gov.lk,treasury.gov.lk,srilankalaw.lk,ok,
"Minister of Finance, Planning and Economic Development",Techno Park Development Company (Pvt.) Limited,sundaytimes.lk,parliament.lk,esn.ac.lk,ok,
"Minister of Finance, Planning and Economic Development",Welfare Benefits Board,wbb.gov.lk,ssb.gov.lk,hirunews.lk,ok,
"Minister of Fisheries, Aquatic and Ocean Resources",Cey-Nor Foundation Ltd.,ceynor.gov.lk,parliament.lk,cabinetoffice.gov.lk,ok,
"Minister of Fisheries, Aquatic and Ocean Resources",Ceylon Fisheries Corporation,cfc.gov.lk,fisheries.gov.lk,soe.lk,ok,
"Minister of Fisheries, Aquatic and Ocean Resources",Ceylon Fishery Harbours Corporation,cfc.gov.lk,soe.lk,parliament.lk,ok,
"Minister of Fisheries, Aquatic and Ocean Resources",Department of Fisheries and Aquatic Resources,fisheriesdept.gov.lk,fisheries.gov.lk,,ok,
"Minister of Fisheries, Aquatic and Ocean Resources",National Aquaculture Development Authority,naqda.gov.lk,fisheries.gov.lk,parliament.lk,ok,
"Minister of Fisheries, Aquatic and Ocean Resources",National Aquatic Resources Research and Development Agency,nara.ac.lk,parliament.lk,govpay.lk,ok,
"Minister of Fisheries, Aquatic and Ocean Resources",North Sea Ltd,northsea.lk,soe.lk,auditorgeneral.gov.lk,ok,
"Minister of Foreign Affairs, Foreign Employment and Tourism",Diplomatic Missions in abroad,sltda.gov.lk,mfa.gov.lk,,ok,
"Minister of Foreign Affairs, Foreign Employment and Tourism",Foreign Employment Agency of Sri Lanka (Pvt.) Ltd.,rainbowpages.lk,sonaklanka.lk,slfea.lk,ok,
"Minister of Foreign Affairs, Foreign Employment and Tourism",Lakshman Kadirgamar Institute for International Relations and Strategic Studies,lki.lk,srilankalaw.lk,,ok,
"Minister of Foreign Affairs, Foreign Employment and Tourism",National Oceanic Affairs Committee Secretariat,parliament.lk,sdc.gov.lk,,ok,
"Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Convention Bureau,env.gov.lk,,,ok,
"Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Foreign Employment Bureau,mfa.gov.lk,employers.lk,slbfe.lk,ok,
"Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Institute of Tourism and Hotel Management,slithm.edu.lk,chsga.lk,coursenet.lk,ok,
"Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Tourism Development Authority,sltda.gov.lk,uat.sltda.gov.lk,nsdi.gov.lk,ok,
